Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price
TRENDPULSE,"ORCL, Long, 2025-09-10 (Price: 328.33)",Daily,No Exit Yet,No Price Target,2026-01-27 (Max),95.68%/105.42%,"-48.52%, 4.7 months","2026-01-29 (Price: 169.0100), 48.52% below",363.5926 (Historic Rise or Fall to Pivot)/347.1761 (Avg % Gain of Historic Winning trades)/379.2 (Function Specific Target)/376.1425 (F-Stack 2)/373.0485 (Backtested Max)/330.7268 (Backtested Min),No Next Date Target,223.0/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/184.4,"100.0%, Past 4 years, 17",No Information,No Information,No Information,No Information,No Information,30.02% below/48.52% below/48.52% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,20.9%,16.31%,4.59%,1.07,0.75,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),portfolio_target_achieved,319.19
FRACTAL TRACK,"MCD, Long, 2026-01-08 (Price: 308.88)",Daily,No Exit Yet,315.3665 (Historic Rise or Fall to Pivot),No Date Target,1.85%/3.56%,"2.15%, 21 days","2026-01-29 (Price: 315.5100), 2.15% above",329.9147 (Avg % Gain of Historic Winning trades)/326.73 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/343.907 (Backtested Max),2028-08-03 (Max)/2026-07-03 (Min)/2027-03-18 (Avg),299.86/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.39,"93.75%, Past 5 years, 16",No Information,No Information,No Information,"61.8% (Price: 303.4045), 3.99% above, Upmove Bounce Back","2025-10-09 (Price: 292.04), 2025-12-18 (Price: 321.79)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,9.72%,5.91%,3.81%,0.88,0.33,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),portfolio_target_achieved,303.44
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",Weekly,No Exit Yet,No Price Target,2026-01-28 (Min),1.85%/3.16%,"1.38%, 1.8 month","2026-01-29 (Price: 315.5100), 1.38% above",333.7008 (Historic Rise or Fall to Pivot)/325.7333 (Avg % Gain of Historic Winning trades)/325.49 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/344.9985 (Backtested Max),2027-02-27 (Max)/2026-06-24 (Avg),297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,"100.0%, Past 10 years, 17",No Information,No Information,No Information,No Information,No Information,1.38% above/1.38% above/1.38% above,10.85%/0.38%/4.66%,"0%, 16.82%",10.3 months/1.2 month/4.6 months,9.08%,6.77%,2.31%,1.49,0.4,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),portfolio_target_achieved,309.48
DELTADRIFT,"NA.TO, Long, 2026-01-22 (Price: 165.94)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),3.39%/4.0%,"-1.36%, 7 days","2026-01-29 (Price: 163.6800), 1.36% below",172.1793 (Historic Rise or Fall to Pivot)/170.2213 (Avg % Gain of Historic Winning trades)/171.2 (Function Specific Target)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/172.1462 (Backtested Max)/169.2256 (Backtested Min),2026-04-23 (Max)/2026-02-19 (Avg),147.83/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/148.77,"91.67%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,No Information,3.74%/1.98%/2.58%,"5.06%, 6.5%",2.1 months/4 days/20 days,8.27%,12.05%,-3.78%,0.79,0.88,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),portfolio_target_achieved,167.19
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,2026-01-29 (Price: 163.68) (Today),No Price Target,No Date Target,15.26%/22.88%,"31.54%, 11.3 months","2026-01-29 (Price: 163.6800), 31.54% above",188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Max),2030-06-06 (Max)/2026-04-03 (Min)/2028-01-01 (Avg),106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,11.98%,7.53%,4.45%,1.22,0.44,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),portfolio_target_achieved,125.91
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",Daily,2026-01-27 (Price: 186.36),No Price Target,No Date Target,10.48%/13.75%,"-8.32%, 17 days","2026-01-29 (Price: 185.2700), 8.32% below",210.7492 (Historic Rise or Fall to Pivot)/220.3278 (Avg % Gain of Historic Winning trades)/223.5 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/225.8042 (Backtested Max)/204.6868 (Backtested Min),2027-01-07 (Max)/2026-02-09 (Min)/2026-05-22 (Avg),198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.36,"85.19%, Past 5 years, 27",No Information,No Information,No Information,"23.66% (Price: 201.5134), 8.06% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,30.23%,20.61%,9.62%,1.18,1.4,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),portfolio_target_achieved,199.44
DELTADRIFT,"DOL.TO, Long, 2026-01-23 (Price: 192.22)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),6.28%/6.63%,"-3.62%, 6 days","2026-01-29 (Price: 185.2700), 3.62% below",212.0955 (Historic Rise or Fall to Pivot)/198.2557 (Avg % Gain of Historic Winning trades)/205.18 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/198.8708 (Backtested Max)/196.9102 (Backtested Min),2026-02-23 (Max)/2026-02-03 (Avg),180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.36,"80.0%, Past 4 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),portfolio_target_achieved,193.26
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-29 (Price: 43.33) (Today),No Price Target,No Date Target,4.21%/10.43%,"9.9%, 10.1 months","2026-01-29 (Price: 43.3300), 9.90% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",No Information,No Information,No Information,"23.66% (Price: 36.9765), 17.18% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),portfolio_target_achieved,39.57
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.7042 (F-Stack 2)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,8.33%,"16.38%, 3.9 years","2026-01-29 (Price: 43.3300), 16.38% above",46.94 (Function Specific Target),No Next Date Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",No Information,No Information,No Information,No Information,No Information,16.38% above/16.38% above/16.38% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),portfolio_target_achieved,35.775
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",Monthly,No Exit Yet,3.7478 (Backtested Min),No Date Target,5.0%/8.63%,"11.28%, 4 months","2026-01-30 (Price: 3.7600), 11.57% above",3.9375 (Historic Rise or Fall to Pivot)/4.0737 (Avg % Gain of Historic Winning trades)/4.39 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.286 (Backtested Max),2026-06-22 (Max)/2026-05-05 (Min)/2026-05-18 (Avg),2.83/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.1,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,19.05% above/11.28% above/11.28% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,3.13
TRENDPULSE,"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",Monthly,No Exit Yet,3.77 (Backtested Min),No Date Target,5.62%/9.27%,"10.62%, 11.2 months","2026-01-30 (Price: 3.7600), 10.91% above",3.9609 (Historic Rise or Fall to Pivot)/4.0978 (Avg % Gain of Historic Winning trades)/4.25 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.3114 (Backtested Max),No Next Date Target,2.83/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,31.58% above/10.62% above/10.62% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,2.85
FRACTAL TRACK,"FRW.NZ, Long, 2025-12-18 (Price: 14.2)",Daily,No Exit Yet,14.5692 (Historic Rise or Fall to Pivot),No Date Target,7.38%/10.42%,"2.82%, 1.4 month","2026-01-30 (Price: 14.2700), 0.49% above",15.6768 (Avg % Gain of Historic Winning trades)/18.63 (Function Specific Target)/16.2179 (F-Stack 1)/21.849 (F-Stack 2)/16.1213 (Backtested Max),2031-03-31 (Max)/2026-05-23 (Min)/2027-09-04 (Avg),13.75/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/12.4,"88.89%, Past 5 years, 9",No Information,No Information,No Information,"23.66% (Price: 13.1339), 11.16% above, Upmove Bounce Back","2024-07-09 (Price: 7.5), 2025-10-31 (Price: 14.88)",No Information,13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,11.59%,4.86%,6.73%,1.04,0.24,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),portfolio_target_achieved,14.2
FRACTAL TRACK,"FRW.NZ, Long, 2026-01-04 (Price: 14.45)",Weekly,No Exit Yet,14.6032 (Historic Rise or Fall to Pivot),No Date Target,1.28%/11.08%,"1.04%, 25 days","2026-01-30 (Price: 14.2700), 1.25% below",16.4788 (Avg % Gain of Historic Winning trades)/18.99 (Function Specific Target)/16.2179 (F-Stack 1)/21.849 (F-Stack 2)/17.4354 (Backtested Max)/14.7867 (Backtested Min),2031-04-17 (Max)/2026-06-13 (Min)/2027-07-31 (Avg),10.0/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/12.4,"100.0%, Past 20 years, 15",No Information,No Information,No Information,"23.66% (Price: 13.0889), 11.54% above, Upmove Bounce Back","2023-11-05 (Price: 7.31), 2025-11-02 (Price: 14.88)",No Information,20.66%/2.33%/14.04%,"0%, 39.81%",3.7 years/3.7 months/1.1 year,10.07%,5.08%,4.99%,2.43,0.25,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),portfolio_target_achieved,14.05
FRACTAL TRACK,"MSFT, Long, 2025-06-30 (Price: 497.41)",Monthly,2026-01-29 (Price: 433.5) (Today),No Price Target,No Date Target,22.35%/27.65%,"-12.85%, 7.1 months","2026-01-29 (Price: 433.5000), 12.85% below",669.6133 (Historic Rise or Fall to Pivot)/608.4319 (Avg % Gain of Historic Winning trades)/650.36 (Function Specific Target)/553.3726 (F-Stack 2)/636.0879 (Backtested Max)/530.3883 (Backtested Min),2045-10-07 (Max)/2028-01-24 (Avg),375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/485.73,"92.31%, Past 39 years, 13",No Information,No Information,No Information,"50% (Price: 340.89), 27.17% above, Upmove Bounce Back","2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",No Information,27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,7.9%,16.21%,-8.31%,1.65,0.79,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),portfolio_target_achieved,457.14
TRENDPULSE,"META, Long, 2026-01-26 (Price: 672.36)",Daily,No Exit Yet,738.1168 (Historic Rise or Fall to Pivot),No Date Target,14.11%/76.83%,"9.81%, 3 days","2026-01-29 (Price: 738.3100), 9.81% above",842.484 (F-Stack 1)/1305.5879 (F-Stack 2),2026-08-09 (Max)/2026-02-06 (Min)/2026-03-09 (Avg),604.12/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"95.0%, Past 4 years, 20",No Information,No Information,No Information,No Information,No Information,12.08% above/9.81% above/9.81% above,7.24%/0.93%/3.71%,"13.49%, 60.2%",4.5 months/8 days/29 days,19.23%,15.29%,3.94%,0.63,0.7,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),portfolio_target_achieved,665.13
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",Monthly,2026-01-29 (Price: 416.56) (Today),No Price Target,No Date Target,17.66%/107.46%,"20.23%, 8.1 months","2026-01-29 (Price: 416.5600), 20.23% above",864.2098 (Historic Rise or Fall to Pivot)/490.132 (F-Stack 2),No Next Date Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,"83.33%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,47.63% above/20.23% above/20.23% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,26.29%,28.82%,-2.53%,0.27,1.04,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,280.01
BAND MATRIX,"SPY, Long, 2025-03-23 (Price: 563.98)",Weekly,No Exit Yet,691.72 (Function Specific Target),No Date Target,3.09%/17.97%,"23.06%, 10.4 months","2026-01-29 (Price: 694.0400), 23.06% above",818.7862 (Avg % Gain of Historic Winning trades)/969.1148 (F-Stack 2)/949.5167 (Backtested Max)/715.465 (Backtested Min),2029-12-07 (Max)/2027-10-17 (Min)/2029-01-28 (Avg),562.81/321.605/415.8599/285.255/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,68.36%/26.86%/45.18%,"-0.0%, 21.14%",3.3 years/1.8 year/2.7 years,12.5%,8.26%,4.24%,1.34,0.55,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),portfolio_target_achieved,562.79
DELTADRIFT,"NFLX, Long, 2025-12-28 (Price: 94.47)",Weekly,No Exit Yet,No Price Target,2026-01-27 (Min),30.29%/31.03%,"-11.97%, 1.1 month","2026-01-29 (Price: 83.1600), 11.97% below",108.9617 (Historic Rise or Fall to Pivot)/109.708 (Avg % Gain of Historic Winning trades)/109.33 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/112.87 (EMA 200)/110.9834 (Backtested Max)/108.3476 (Backtested Min),2026-06-06 (Max)/2026-04-02 (Avg),94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,0.19%,16.51%,-16.32%,-0.04,0.71,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),portfolio_target_achieved,94.71
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,No Exit Yet,251.3512 (F-Stack 2)/250.5189 (Backtested Min),No Date Target,35.64%/56.95%,"43.03%, 6.1 months","2026-01-29 (Price: 252.1800), 43.03% above",342.059 (Historic Rise or Fall to Pivot)/395.7983 (Avg % Gain of Historic Winning trades)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-09-21 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"100.0%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,127.74% above/43.03% above/43.03% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,138.77
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",Monthly,2026-01-29 (Price: 629.43) (Today),No Price Target,No Date Target,1.74%/3.14%,"10.35%, 5 months","2026-01-29 (Price: 629.4300), 10.35% above",649.1722 (Historic Rise or Fall to Pivot)/640.3881 (Avg % Gain of Historic Winning trades)/735.71 (Function Specific Target)/836.2536 (F-Stack 2)/664.2308 (Backtested Max),2026-11-17 (Max)/2026-04-05 (Min)/2026-07-18 (Avg),468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,"100.0%, Past 20 years, 14",No Information,No Information,No Information,No Information,No Information,10.35% above/10.35% above/10.35% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,8.4%,6.82%,1.58%,1.2,0.37,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,558.83
TRENDPULSE,"HDB, Long, 2025-12-31 (Price: 36.54)",Daily,No Exit Yet,No Price Target,2026-01-31 (Avg),13.11%/15.12%,"-10.92%, 29 days","2026-01-29 (Price: 32.5500), 10.92% below",38.8968 (Historic Rise or Fall to Pivot)/37.8372 (Avg % Gain of Historic Winning trades)/37.47 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/38.9626 (Backtested Max)/36.8177 (Backtested Min),2026-02-21 (Max)/2026-01-31 (Avg),35.13/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.17,"85.71%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,10.43% below/10.92% below/10.92% below,6.63%/0.76%/3.55%,"0.81%, 14.63%",1.2 month/6 days/22 days,14.01%,1.7%,12.31%,1.17,0.11,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),portfolio_target_achieved,36.5
BAND MATRIX,"BTI, Long, 2025-09-24 (Price: 52.38)",Daily,No Exit Yet,60.3994 (Avg % Gain of Historic Winning trades),No Date Target,26.09%/36.54%,"14.97%, 4.2 months","2026-01-29 (Price: 60.2200), 14.97% above",82.226 (F-Stack 1)/92.0468 (F-Stack 2)/75.93 (Backtested Max),2026-08-28 (Max)/2026-03-29 (Avg),46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level/52.16,"87.5%, Past 5 years, 8",No Information,No Information,No Information,No Information,No Information,No Information,44.96%/1.83%/15.31%,"6.64%, 12.43%",7.8 months/1.2 month/4.3 months,22.59%,5.81%,16.78%,0.7,0.3,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets),portfolio_target_achieved,52.64
BAND MATRIX,"COIN, Long, 2025-08-05 (Price: 297.99)",Daily,No Exit Yet,No Price Target,2026-01-28 (Avg),117.84%/125.88%,"-33.16%, 5.9 months","2026-01-29 (Price: 199.1800), 33.16% below",433.9032 (Avg % Gain of Historic Winning trades)/449.909 (F-Stack 1)/643.0255 (F-Stack 2)/867.4787 (Backtested Max),2026-08-05 (Max),241.05/86.505/286.5304/189.7902/No F-Track Level/No F-Track Level/290.9,"75.0%, Past 4 years, 8",No Information,No Information,No Information,No Information,No Information,No Information,191.11%/0.19%/45.61%,"82.54%, 85.28%",8.4 months/1.6 month/4.1 months,-8.78%,-3.19%,-5.59%,0.22,0.39,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets),portfolio_target_achieved,307.11
DELTADRIFT,"TRI.TO, Long, 2025-11-30 (Price: 189.55)",Weekly,2026-01-29 (Price: 151.95) (Today),No Price Target,No Date Target,30.33%/30.48%,"-19.84%, 2 months","2026-01-29 (Price: 151.9500), 19.84% below",198.2693 (Historic Rise or Fall to Pivot)/201.2452 (Avg % Gain of Historic Winning trades)/199.76 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/230.21 (EMA 200)/204.8846 (Backtested Max)/198.0418 (Backtested Min),2027-11-28 (Max)/2026-07-31 (Avg),163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,5.14%,6.08%,-0.94%,1.52,0.34,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),portfolio_target_achieved,190.76
BAND MATRIX,"TFII.TO, Long, 2025-03-09 (Price: 120.45)",Weekly,No Exit Yet,No Price Target,2026-01-28 (Min),27.49%/48.87%,"22.69%, 10.9 months","2026-01-29 (Price: 147.7800), 22.69% above",248.392 (Avg % Gain of Historic Winning trades)/188.4 (Function Specific Target)/219.9933 (Horizontal)/292.119 (F-Stack 1)/470.5571 (F-Stack 2)/501.9272 (Backtested Max),2031-10-01 (Max)/2028-03-08 (Avg),95.06/116.3/113.6809/71.5572/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,316.71%/21.67%/106.22%,"-0.0%, 44.98%",4.6 years/7.5 months/2.1 years,21.18%,11.14%,10.04%,0.59,0.57,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),portfolio_target_achieved,131.6
FRACTAL TRACK,"KXS.TO, Long, 2025-11-23 (Price: 176.3)",Weekly,No Exit Yet,No Price Target,2026-01-31 (Min),30.71%/32.36%,"-19.74%, 2.2 months","2026-01-29 (Price: 141.5000), 19.74% below",206.1476 (Avg % Gain of Historic Winning trades)/232.08 (Function Specific Target)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/184.95 (EMA 200)/217.7129 (Backtested Max)/187.2835 (Backtested Min),2027-11-21 (Max)/2026-01-31 (Min)/2027-01-14 (Avg),169.84/126.33/176.1333/151.1683/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 11 years, 10",No Information,No Information,No Information,"50% (Price: 165.965), 14.74% below, Upmove Bounce Back","2022-06-19 (Price: 119.48), 2025-08-03 (Price: 212.45)",No Information,23.49%/6.23%/16.93%,"14.59%, 37.82%",1.4 year/1.6 month/9.6 months,12.74%,17.23%,-4.49%,0.84,0.8,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),portfolio_target_achieved,172.62
BAND MATRIX,"MX.TO, Long, 2025-02-13 (Price: 66.03)",Daily,2026-01-28 (Price: 64.77),No Price Target,No Date Target,1.78%/9.7%,"-0.03%, 11.7 months","2026-01-29 (Price: 66.0100), 0.03% below",78.3248 (Avg % Gain of Historic Winning trades)/72.41 (Function Specific Target)/73.435 (Horizontal)/104.8718 (F-Stack 1)/122.9238 (F-Stack 2)/85.4032 (Backtested Max)/67.1855 (Backtested Min),2028-02-13 (Max)/2026-06-01 (Avg),65.11/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/50.35,"100.0%, Past 5 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,29.34%/1.75%/18.62%,"-0.0%, 44.27%",2.1 years/1.2 month/10.9 months,14.76%,-2.01%,16.77%,0.97,0.03,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets),portfolio_target_achieved,67.18
